Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
A.J. Brown,25.0,2022,WR,PHI,17.0,16.0,,,,,,0.0,0.0,0.0,145.0,88.0,1496.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,28.0,32.0,29.0,30.8,11,303.6,215.6
A.J. Green,34.0,2022,WR,ARI,15.0,10.0,,,,,,0.0,0.0,0.0,47.0,24.0,236.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,301.0,213.0,211.0,301.0,212.0,72,61.6,37.6
AJ Dillon,24.0,2022,RB,GNB,17.0,3.0,,,,,,186.0,770.0,7.0,43.0,28.0,206.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,63.0,68.0,43.0,67.8,26,167.6,139.6
Aaron Jones,28.0,2022,RB,GNB,17.0,17.0,,,,,,213.0,1121.0,2.0,72.0,59.0,395.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,18.0,17.0,22.0,19.5,10,252.6,193.6
Aaron Rodgers,39.0,2022,QB,GNB,17.0,17.0,542.0,350.0,3695.0,26.0,12.0,34.0,94.0,1.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,90.0,61.0,102.0,80.3,10,243.2,243.2
Adam Prentice,25.0,2022,RB,NOR,11.0,2.0,,,,,,4.0,9.0,0.0,3.0,3.0,9.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,4.8,1.8
Adam Thielen,32.0,2022,WR,MIN,17.0,17.0,,,,,,1.0,4.0,0.0,107.0,70.0,716.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,73.0,70.0,78.0,72.0,73.3,29,180.0,110.0
Adam Trautman,25.0,2022,TE,NOR,15.0,12.0,,,,,,0.0,0.0,0.0,22.0,18.0,207.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,44.7,26.700000000000003
Albert Okwuegbunam,24.0,2022,TE,DEN,8.0,1.0,,,,,,0.0,0.0,0.0,18.0,10.0,95.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,131.0,184.0,172.0,169.3,18,25.5,15.5
Alec Ingold,26.0,2022,RB,MIA,17.0,14.0,,,,,,6.0,8.0,1.0,23.0,15.0,105.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301,38.3,23.3
