ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Player Name
1.0,1.0,1.0,1.0,1.0,Jonathan Taylor
2.0,2.0,2.0,2.0,2.0,Christian McCaffrey
4.0,4.0,4.0,3.0,3.8,Austin Ekeler
3.0,5.0,3.0,5.0,4.0,Cooper Kupp
5.0,3.0,5.0,8.0,5.3,Derrick Henry
6.0,6.0,6.0,4.0,5.5,Justin Jefferson
9.0,7.0,7.0,7.0,7.5,Dalvin Cook
8.0,8.0,10.0,6.0,8.0,Najee Harris
7.0,9.0,8.0,9.0,8.3,Ja'Marr Chase
12.0,10.0,9.0,10.0,10.3,Joe Mixon
11.0,12.0,11.0,15.0,12.3,Davante Adams
13.0,11.0,12.0,14.0,12.5,Stefon Diggs
10.0,15.0,16.0,12.0,13.3,Alvin Kamara
17.0,13.0,13.0,17.0,15.0,Travis Kelce
15.0,14.0,22.0,11.0,15.5,D'Andre Swift
14.0,21.0,14.0,19.0,17.0,Deebo Samuel Sr.
21.0,18.0,17.0,22.0,19.5,Aaron Jones Sr.
19.0,17.0,21.0,21.0,19.5,CeeDee Lamb
16.0,20.0,20.0,23.0,19.8,Tyreek Hill
28.0,16.0,18.0,18.0,20.0,Nick Chubb
26.0,19.0,23.0,13.0,20.3,Saquon Barkley
22.0,22.0,15.0,24.0,20.8,Josh Allen
20.0,23.0,19.0,25.0,21.8,Mark Andrews
18.0,25.0,25.0,20.0,22.0,Leonard Fournette
23.0,24.0,28.0,16.0,22.8,Javonte Williams
27.0,26.0,26.0,28.0,26.8,Mike Evans
24.0,27.0,29.0,33.0,28.3,Keenan Allen
25.0,30.0,36.0,26.0,29.3,James Conner
29.0,32.0,24.0,34.0,29.8,Patrick Mahomes II
38.0,29.0,27.0,27.0,30.3,Ezekiel Elliott
34.0,28.0,32.0,29.0,30.8,A.J. Brown
35.0,31.0,33.0,32.0,32.8,Kyle Pitts
31.0,35.0,38.0,30.0,33.5,Michael Pittman Jr.
30.0,33.0,35.0,37.0,33.8,Tee Higgins
36.0,34.0,30.0,38.0,34.5,Justin Herbert
40.0,40.0,31.0,35.0,36.5,David Montgomery
33.0,37.0,53.0,36.0,39.8,Cam Akers
41.0,36.0,34.0,48.0,39.8,George Kittle
45.0,39.0,47.0,31.0,40.5,Travis Etienne Jr.
37.0,38.0,42.0,47.0,41.0,Terry McLaurin
42.0,43.0,37.0,52.0,43.5,Lamar Jackson
32.0,42.0,60.0,41.0,43.8,DJ Moore
43.0,45.0,41.0,46.0,43.8,Diontae Johnson
47.0,41.0,40.0,51.0,44.8,Darren Waller
