Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
A.J. Brown,26.0,2023,WR,PHI,17.0,17.0,,,,,,0.0,0.0,0.0,158.0,106.0,1456.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,13.0,13.0,15.0,15.0,8
A.J. McCarron,33.0,2023,QB,CIN,2.0,0.0,5.0,4.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
A.T. Perry,24.0,2023,WR,NOR,10.0,3.0,,,,,,0.0,0.0,0.0,18.0,12.0,246.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.0,301.0,301.0,301.0,422.0,137
AJ Dillon,25.0,2023,RB,GNB,15.0,6.0,,,,,,178.0,613.0,2.0,28.0,22.0,223.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,93.0,105.0,84.0,94.5,32
Aaron Jones,29.0,2023,RB,GNB,11.0,11.0,,,,,,142.0,656.0,2.0,43.0,30.0,233.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,40.0,38.0,39.0,37.3,14
Aaron Rodgers,40.0,2023,QB,NYJ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,94.0,98.0,122.0,101.8,12
Adam Prentice,26.0,2023,RB,NOR,13.0,1.0,,,,,,2.0,12.0,0.0,3.0,2.0,12.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,301.0,301.0,301.0,492.0,11
Adam Thielen,33.0,2023,WR,CAR,17.0,17.0,,,,,,1.0,6.0,0.0,137.0,103.0,1014.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,137.0,127.0,158.0,127.0,137.3,50
Adam Trautman,26.0,2023,TE,DEN,17.0,12.0,,,,,,0.0,0.0,0.0,35.0,22.0,204.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,301.0,301.0,301.0,336.0,53
Aidan O'Connell,25.0,2023,QB,LVR,11.0,10.0,343.0,213.0,2218.0,12.0,7.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,301.0,301.0,301.0,369.0,50
Albert Okwuegbunam,25.0,2023,TE,PHI,4.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,301.0,301.0,301.0,280.0,41
Alec Ingold,27.0,2023,RB,MIA,17.0,13.0,,,,,,2.0,0.0,0.0,16.0,13.0,119.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0,301.0,301.0,301.0,359.0,4
Alec Pierce,23.0,2023,WR,IND,17.0,16.0,,,,,,0.0,0.0,0.0,65.0,32.0,514.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,208.0,270.0,201.0,226.3,75
Alex Armah,29.0,2023,RB,WAS,8.0,0.0,,,,,,0.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Alex Erickson,31.0,2023,WR,LAC,8.0,3.0,,,,,,0.0,0.0,0.0,29.0,16.0,232.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Alexander Mattison,25.0,2023,RB,MIN,16.0,13.0,,,,,,180.0,700.0,0.0,44.0,30.0,192.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,57.0,94.0,46.0,62.8,22
Allen Lazard,28.0,2023,WR,NYJ,14.0,12.0,,,,,,0.0,0.0,0.0,49.0,23.0,311.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,126.0,154.0,134.0,143.5,51
Allen Robinson,30.0,2023,WR,PIT,17.0,17.0,,,,,,0.0,0.0,0.0,49.0,34.0,280.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,284.0,301.0,264.0,274.0,94
Alvin Kamara,28.0,2023,RB,NOR,13.0,12.0,,,,,,180.0,694.0,5.0,86.0,75.0,466.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,51.0,63.0,68.0,64.0,61.5,21
Amari Cooper,29.0,2023,WR,CLE,15.0,15.0,,,,,,0.0,0.0,0.0,128.0,72.0,1250.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,42.0,45.0,40.0,42.0,18
Amari Rodgers,24.0,2023,WR,IND,3.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,301.0,301.0,301.0,376.0,124
Ameer Abdullah,30.0,2023,RB,LVR,17.0,0.0,,,,,,15.0,89.0,0.0,24.0,19.0,131.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Amon-Ra St. Brown,24.0,2023,WR,DET,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,164.0,119.0,1515.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,21.0,16.0,18.8,10
Anders Carlson,25.0,2023,K,GNB,17.0,0.0,,,,,,,,,,,,,,20.0,20.0,8.0,4.0,5.0,3.0,33.0,27.0,39.0,34.0,,,,,,,,,,,,,,,,,,,,,,220.0,301.0,283.0,301.0,251.5,28
Andrei Iosivas,24.0,2023,WR,CIN,16.0,1.0,,,,,,0.0,0.0,0.0,25.0,15.0,116.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0,301.0,301.0,301.0,321.0,114
Andrew Beck,27.0,2023,RB,HOU,15.0,12.0,,,,,,5.0,3.0,1.0,13.0,11.0,55.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.0,301.0,301.0,301.0,445.0,9
Andrew Ogletree,25.0,2023,TE,IND,12.0,9.0,,,,,,0.0,0.0,0.0,21.0,9.0,147.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Andy Dalton,36.0,2023,QB,CAR,3.0,1.0,58.0,34.0,361.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,301.0,301.0,301.0,346.0,49
Anthony McFarland Jr.,25.0,2023,RB,PIT,3.0,0.0,,,,,,0.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Anthony Richardson,21.0,2023,QB,IND,4.0,4.0,84.0,50.0,577.0,3.0,1.0,25.0,136.0,4.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,113.0,118.0,125.0,120.3,14
Antoine Green,24.0,2023,WR,DET,9.0,0.0,,,,,,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,301.0,301.0,301.0,393.0,131
Antonio Gibson,25.0,2023,RB,WAS,16.0,2.0,,,,,,65.0,265.0,1.0,59.0,48.0,389.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,98.0,160.0,80.0,112.5,36
Austin Ekeler,28.0,2023,RB,LAC,14.0,14.0,,,,,,179.0,628.0,5.0,74.0,51.0,436.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,4.0,3.8,2
Austin Hooper,29.0,2023,TE,LVR,17.0,9.0,,,,,,0.0,0.0,0.0,31.0,25.0,234.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Austin Seibert,27.0,2023,K,NYJ,1.0,0.0,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Austin Trammell,25.0,2023,WR,LAR,16.0,0.0,,,,,,0.0,0.0,0.0,7.0,4.0,29.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bailey Zappe,24.0,2023,QB,NWE,10.0,6.0,212.0,127.0,1272.0,6.0,9.0,17.0,83.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,301.0,301.0,301.0,396.0,54
Baker Mayfield,28.0,2023,QB,TAM,17.0,17.0,566.0,364.0,4044.0,28.0,10.0,62.0,163.0,1.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,264.0,246.0,301.0,240.3,30
Ben Sims,23.0,2023,TE,GNB,17.0,1.0,,,,,,0.0,0.0,0.0,6.0,4.0,21.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Ben Skowronek,26.0,2023,WR,LAR,17.0,0.0,,,,,,2.0,9.0,0.0,12.0,8.0,66.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bijan Robinson,21.0,2023,RB,ATL,17.0,16.0,,,,,,214.0,976.0,4.0,86.0,58.0,487.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,9.0,8.0,8.0,4
Blaine Gabbert,34.0,2023,QB,KAN,2.0,1.0,35.0,18.0,185.0,0.0,3.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,301.0,301.0,301.0,324.0,46
Blake Bell,32.0,2023,TE,KAN,17.0,3.0,,,,,,0.0,0.0,0.0,9.0,5.0,26.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,301.0,301.0,301.0,254.0,32
Blake Gillikin,25.0,2023,K,ARI,13.0,0.0,,,,,,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Blake Grupe,25.0,2023,K,NOR,17.0,0.0,,,,,,,,,,,,,,18.0,16.0,10.0,8.0,9.0,6.0,37.0,30.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,232.0,301.0,301.0,301.0,232.0,24
Bo Melton,24.0,2023,WR,GNB,5.0,1.0,,,,,,3.0,21.0,0.0,24.0,16.0,218.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Boston Scott,28.0,2023,RB,PHI,15.0,0.0,,,,,,20.0,86.0,0.0,6.0,4.0,52.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,301.0,281.0,301.0,286.5,81
Braden Mann,26.0,2023,K,PHI,15.0,0.0,1.0,1.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bradley Pinion,29.0,2023,K,ATL,17.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Brandin Cooks,30.0,2023,WR,DAL,16.0,15.0,,,,,,5.0,35.0,0.0,81.0,54.0,657.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.0,97.0,103.0,92.0,95.0,38
Brandon Aiyuk,25.0,2023,WR,SFO,16.0,16.0,,,,,,0.0,0.0,0.0,105.0,75.0,1342.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,64.0,84.0,67.0,72.0,28
Brandon Aubrey,28.0,2023,K,DAL,17.0,0.0,,,,,,,,,,,,,,24.0,22.0,4.0,4.0,10.0,10.0,38.0,36.0,52.0,49.0,,,,,,,,,,,,,,,,,,,,,,226.0,301.0,301.0,272.0,249.0,26
Brandon Bolden,33.0,2023,RB,LVR,17.0,0.0,,,,,,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,301.0,301.0,301.0,301.0,301.0,301
Brandon Johnson,25.0,2023,WR,DEN,13.0,2.0,,,,,,0.0,0.0,0.0,30.0,19.0,284.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.0,301.0,301.0,301.0,387.0,128
Brandon McManus,32.0,2023,K,JAX,17.0,0.0,,,,,,,,,,,,,,14.0,14.0,13.0,11.0,10.0,5.0,37.0,30.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,240.0,156.0,193.0,197.0,196.5,14
Brandon Powell,28.0,2023,WR,MIN,17.0,2.0,,,,,,5.0,17.0,0.0,44.0,29.0,324.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.0,301.0,301.0,301.0,447.0,143
Braxton Berrios,28.0,2023,WR,MIA,16.0,1.0,,,,,,1.0,11.0,0.0,33.0,27.0,238.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Breece Hall,22.0,2023,RB,NYJ,17.0,16.0,,,,,,223.0,994.0,5.0,95.0,76.0,591.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,39.0,24.0,52.0,40.8,15
Brenton Strange,23.0,2023,TE,JAX,14.0,4.0,,,,,,0.0,0.0,0.0,9.0,5.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,301.0,301.0,301.0,349.0,56
Brett Maher,34.0,2023,K,LAR,8.0,0.0,,,,,,,,,,,,,,7.0,7.0,9.0,7.0,7.0,3.0,23.0,17.0,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,216.0,301.0,301.0,301.0,216.0,20
Brett Rypien,27.0,2023,QB,LAR,2.0,1.0,38.0,18.0,172.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Brevin Jordan,23.0,2023,TE,HOU,14.0,6.0,,,,,,0.0,0.0,0.0,21.0,17.0,219.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Brian Hoyer,38.0,2023,QB,LVR,3.0,1.0,42.0,23.0,231.0,0.0,2.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Brian Robinson Jr.,24.0,2023,RB,WAS,15.0,15.0,,,,,,178.0,733.0,5.0,43.0,36.0,368.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.0,150.0,85.0,109.3,35
