Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Fumbles Lost,Field Goals Attempted 0-19,Field Goals Made 0-19,Field Goals Attempted 20-29,Field Goals Made 20-29,Field Goals Attempted 30-39,Field Goals Made 30-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Made,Extra Points Attempted,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
A.J. Brown,27.0,2024,WR,PHI,13.0,13.0,,,,,,0.0,0.0,0.0,97.0,67.0,1079.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,9.0,11.0,10.2,6
AJ Barner,22.0,2024,TE,SEA,17.0,6.0,,,,,,0.0,0.0,0.0,38.0,30.0,245.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,301.0,393.0,301.0,395.0,58
AJ Cole III,29.0,2024,K,LVR,17.0,0.0,1.0,1.0,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Aaron Jones,30.0,2024,RB,MIN,17.0,17.0,,,,,,255.0,1138.0,5.0,62.0,51.0,408.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,58.0,70.0,52.0,59.2,19
Aaron Rodgers,41.0,2024,QB,NYJ,17.0,17.0,584.0,368.0,3897.0,28.0,11.0,22.0,107.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,135.0,144.0,153.0,136.2,18
Aaron Shampklin,25.0,2024,RB,PIT,3.0,0.0,,,,,,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,726.0,301.0,726.0,124
Adam Prentice,27.0,2024,RB,NOR,17.0,7.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,687.0,301.0,687.0,8
Adam Thielen,34.0,2024,WR,CAR,10.0,10.0,,,,,,0.0,0.0,0.0,62.0,48.0,615.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,163.0,172.0,156.0,161.0,57
Adam Trautman,27.0,2024,TE,DEN,17.0,14.0,,,,,,0.0,0.0,0.0,22.0,13.0,188.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.0,301.0,449.0,301.0,381.0,54
Adonai Mitchell,22.0,2024,WR,IND,17.0,7.0,1.0,1.0,24.0,0.0,0.0,4.0,6.0,0.0,55.0,23.0,312.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,133.0,193.0,169.0,170.6,60
Aidan O'Connell,26.0,2024,QB,LVR,9.0,7.0,243.0,154.0,1612.0,8.0,4.0,21.0,30.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,302.0,288.0,301.0,295.0,35
Ainias Smith,23.0,2024,WR,PHI,7.0,1.0,,,,,,2.0,6.0,0.0,9.0,7.0,41.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,301.0,395.0,301.0,394.0,127
Alec Ingold,28.0,2024,RB,MIA,15.0,10.0,,,,,,10.0,17.0,1.0,12.0,11.0,96.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,301.0,301.0,301.0,374.0,2
Alec Pierce,24.0,2024,WR,IND,16.0,13.0,,,,,,0.0,0.0,0.0,69.0,37.0,824.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.0,301.0,348.0,301.0,414.5,134
Alex Bachman,28.0,2024,WR,LVR,6.0,1.0,,,,,,0.0,0.0,0.0,3.0,3.0,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,824.0,301.0,824.0,200
Alexander Mattison,26.0,2024,RB,LVR,14.0,7.0,,,,,,132.0,420.0,4.0,48.0,36.0,294.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,301.0,227.0,268.0,191.0,228.7,62
Allen Lazard,29.0,2024,WR,NYJ,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,530.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,301.0,290.0,301.0,303.0,100
Allen Robinson,31.0,2024,WR,DET,12.0,0.0,,,,,,0.0,0.0,0.0,7.0,3.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,562.0,301.0,562.0,170
Alvin Kamara,29.0,2024,RB,NOR,14.0,14.0,,,,,,228.0,950.0,6.0,89.0,68.0,543.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,48.0,49.0,34.0,39.6,16
Amari Cooper,30.0,2024,WR,2TM,14.0,10.0,,,,,,0.0,0.0,0.0,85.0,44.0,547.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,59.0,48.0,58.0,56.8,25
Ameer Abdullah,31.0,2024,RB,LVR,16.0,3.0,,,,,,66.0,311.0,2.0,47.0,40.0,261.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,381.0,301.0,381.0,90
Amon-Ra St. Brown,25.0,2024,WR,DET,17.0,17.0,1.0,1.0,7.0,1.0,0.0,2.0,6.0,0.0,141.0,115.0,1263.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,5.0,6.0,6.2,3
Anders Carlson,26.0,2024,K,2TM,7.0,0.0,,,,,,,,,,,,,,,0.0,0.0,3.0,3.0,2.0,2.0,7.0,5.0,3.0,3.0,15.0,13.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,319.0,301.0,256.0,301.0,287.5,29
Andrei Iosivas,25.0,2024,WR,CIN,17.0,8.0,,,,,,0.0,0.0,0.0,61.0,36.0,479.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,339.0,258.0,298.5,97
Andrew Beck,28.0,2024,RB,2TM,4.0,0.0,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,501.0,301.0,501.0,5
Andrew Ogletree,26.0,2024,TE,IND,17.0,6.0,,,,,,0.0,0.0,0.0,14.0,9.0,109.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Andy Dalton,37.0,2024,QB,CAR,6.0,5.0,160.0,106.0,989.0,7.0,6.0,11.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,301.0,474.0,301.0,410.0,51
Anthony Gould,23.0,2024,WR,IND,8.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,899.0,301.0,899.0,210
Anthony Miller,30.0,2024,WR,BAL,2.0,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,807.0,301.0,807.0,199
Anthony Richardson,22.0,2024,QB,IND,11.0,11.0,264.0,126.0,1814.0,8.0,12.0,86.0,499.0,6.0,1.0,1.0,-1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,56.0,52.0,60.0,57.6,6
Antonio Gibson,26.0,2024,RB,NWE,17.0,3.0,,,,,,120.0,538.0,1.0,29.0,23.0,206.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,171.0,243.0,143.0,173.8,50
Ashton Dulin,27.0,2024,WR,IND,15.0,2.0,,,,,,5.0,45.0,0.0,8.0,2.0,67.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.0,301.0,301.0,301.0,477.0,155
Audric Estime,21.0,2024,RB,DEN,13.0,1.0,,,,,,76.0,310.0,2.0,5.0,5.0,27.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,223.0,328.0,220.0,257.0,71
Austin Ekeler,29.0,2024,RB,WAS,12.0,6.0,,,,,,77.0,367.0,4.0,41.0,35.0,366.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,93.0,93.0,89.0,91.0,28
Austin Hooper,30.0,2024,TE,NWE,17.0,8.0,,,,,,0.0,0.0,0.0,59.0,45.0,476.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,301.0,437.0,301.0,389.5,57
Austin Seibert,28.0,2024,K,WAS,9.0,0.0,,,,,,,,,,,,,,,0.0,0.0,10.0,10.0,7.0,7.0,8.0,8.0,5.0,2.0,30.0,27.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,476.0,301.0,614.0,301.0,545.0,39
Austin Trammell,26.0,2024,WR,JAX,1.0,0.0,,,,,,0.0,0.0,0.0,3.0,2.0,40.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,301.0,301.0,301
Bailey Zappe,25.0,2024,QB,CLE,1.0,1.0,31.0,16.0,170.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0,301.0,530.0,301.0,462.0,60
Baker Mayfield,29.0,2024,QB,TAM,17.0,17.0,570.0,407.0,4500.0,41.0,16.0,60.0,378.0,3.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,158.0,163.0,175.0,166.6,22
Baylor Cupp,24.0,2024,TE,KAN,1.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,301.0,710.0,301.0,710.0,99
Ben Sims,24.0,2024,TE,GNB,17.0,5.0,,,,,,0.0,0.0,0.0,5.0,4.0,42.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0,301.0,879.0,301.0,651.5,96
