season,player_name,injuries
2018,Josh Martin,['Concussion']
2018,Marcus Maye,['Foot']
2018,Willie Henry,['Abdomen']
2018,Hayden Hurst,['Foot']
2018,Dontae Johnson,['Hip']
2018,K.J. Wright,['Knee']
2018,D.J. Fluker,['Hamstring']
2018,Blidi Wreh-Wilson,['Shoulder']
2018,Ben Garland,['Calf']
2018,Denzelle Good,['Knee']
2018,Kayvon Webster,['Achilles']
2018,Josh Jones,['Ankle']
2018,Vita Vea,['Calf']
2018,Brent Grimes,['Groin']
2018,De'Vante Harris,['Hamstring']
2018,Eric Berry,['Heel']
2018,James Burgess Jr.,['Concussion']
2018,Joey Bosa,['Foot']
2018,Tae Davis,['Hamstring']
2018,Olivier Vernon,['Ankle']
2018,DeAndre Washington,['Knee']
2018,Harold Landry III,['Ankle']
2018,Kendrick Lewis,['Foot']
2018,Rashaan Evans,['Hamstring']
2018,Curtis Samuel,['Medical Illness']
2018,Alshon Jeffery,['Shoulder']
2018,Mack Hollins,['Groin']
2018,Aviante Collins,['Elbow']
2018,Travis Frederick,['Illness']
2018,Xavier Woods,['Hamstring']
2018,Datone Jones,['Knee']
2018,Maurice Harris,['Concussion']
2018,Andrew Donnal,['Knee']
2018,Erik Magnuson,['Hamstring']
2018,DeAndre Houston-Carson,['Forearm']
2018,Ray-Ray McCloud,['Knee']
2018,Markus Golden,['Knee']
2018,Jermon Bushrod,['Not Injury Related']
2018,Mark Barron,['Ankle']
2018,Vance McDonald,['Foot']
