Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
A.J. Brown,23.0,2020,WR,TEN,14.0,12.0,,,,,,0.0,0.0,0.0,106.0,70.0,1075.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,42.0,42.3,15.0,239.5,169.5
A.J. Green,32.0,2020,WR,CIN,16.0,14.0,,,,,,0.0,0.0,0.0,104.0,47.0,523.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,79.0,70.0,28.0,111.3,64.3
A.J. McCarron,30.0,2020,QB,HOU,2.0,0.0,1.0,1.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,,,,451.0,59.0,0.8,0.8
AJ Cole III,25.0,2020,K,LVR,16.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
AJ Dillon,22.0,2020,RB,GNB,11.0,0.0,,,,,,46.0,242.0,2.0,2.0,2.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,38.3
Aaron Jones,26.0,2020,RB,GNB,14.0,14.0,,,,,,201.0,1104.0,9.0,63.0,47.0,355.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,16.0,18.3,14.0,254.9,207.9
Aaron Rodgers,37.0,2020,QB,GNB,16.0,16.0,526.0,372.0,4299.0,48.0,5.0,38.0,149.0,3.0,1.0,1.0,-6.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,109.0,97.5,11.0,379.26,378.26
Adam Humphries,27.0,2020,WR,TEN,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,228.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,102.0,57.8,34.8
Adam Shaheen,26.0,2020,TE,MIA,16.0,5.0,,,,,,0.0,0.0,0.0,22.0,12.0,150.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,33.0
Adam Thielen,30.0,2020,WR,MIN,15.0,15.0,,,,,,3.0,15.0,0.0,108.0,74.0,925.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,,,36.0,32.3,11.0,254.0,180.0
Adam Trautman,23.0,2020,TE,NOR,15.0,6.0,,,,,,0.0,0.0,0.0,16.0,15.0,171.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,,,,365.0,57.0,38.1,23.1
Adrian Killins,22.0,2020,RB,PHI,1.0,0.0,,,,,,1.0,-12.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,,,314.0,90.0,-0.0,-1.0
