Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP
A.J. Brown,24.0,2021,WR,TEN,13.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,105.0,63.0,869.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,21.0,25.0,23.8,8.0
A.J. Green,33.0,2021,WR,ARI,16.0,9.0,,,,,,0.0,0.0,0.0,92.0,54.0,848.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,187.0,204.0,214.0,197.0,64.0
AJ Dillon,23.0,2021,RB,GNB,17.0,2.0,,,,,,187.0,803.0,5.0,37.0,34.0,313.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,27.0,2021,RB,GNB,15.0,15.0,,,,,,171.0,799.0,4.0,65.0,52.0,391.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,7.0,11.0,9.4,6.0
Aaron Rodgers,38.0,2021,QB,GNB,16.0,16.0,531.0,366.0,4115.0,37.0,4.0,33.0,101.0,3.0,1.0,1.0,-4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,57.0,43.0,64.0,54.4,5.0
Adam Humphries,28.0,2021,WR,WAS,17.0,11.0,,,,,,0.0,0.0,0.0,62.0,41.0,383.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,101.0
Adam Prentice,24.0,2021,RB,NOR,7.0,3.0,,,,,,3.0,5.0,0.0,3.0,3.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Shaheen,27.0,2021,TE,MIA,12.0,7.0,,,,,,0.0,0.0,0.0,16.0,12.0,110.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,31.0,2021,WR,MIN,13.0,13.0,,,,,,1.0,2.0,0.0,95.0,67.0,726.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,51.0,54.0,61.0,50.6,20.0
Adam Trautman,24.0,2021,TE,NOR,13.0,10.0,,,,,,0.0,0.0,0.0,43.0,27.0,263.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,220.0,242.0,207.5,23.0
Adrian Peterson,36.0,2021,RB,2TM,4.0,3.0,,,,,,38.0,98.0,2.0,4.0,4.0,8.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,,349.5,97.0
Albert Okwuegbunam,23.0,2021,TE,DEN,14.0,6.0,,,,,,0.0,0.0,0.0,40.0,33.0,330.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0,43.0
Albert Wilson,29.0,2021,WR,MIA,14.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,39.0,25.0,213.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,120.0
Aldrick Rosas,27.0,2021,K,2TM,5.0,0.0,,,,,,,,,,,,,,1.0,0.0,2.0,2.0,2.0,0.0,5.0,2.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,33.0
Alec Ingold,25.0,2021,RB,LVR,9.0,3.0,,,,,,2.0,1.0,0.0,12.0,10.0,85.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Armah,27.0,2021,RB,NOR,9.0,2.0,,,,,,5.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Bachman,25.0,2021,WR,NYG,3.0,0.0,,,,,,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
