Player Name,2018 Age,2018 Position,2018 Team,2018 Games Played,2018 Games Started,2018 Passing Attempts,2018 Passing Completions,2018 Passing Yards,2018 Passing Touchdowns,2018 Interceptions Thrown,2018 Rushing Attempts,2018 Rushing Yards,2018 Rushing Touchdowns,2018 Targets,2018 Receptions,2018 Receiving Yards,2018 Receiving Touchdowns,2018 Fumbles,2018 Field Goals Attempted 0-39,2018 Field Goals Made 0-39,2018 Field Goals Attempted 40-49,2018 Field Goals Made 40-49,2018 Field Goals Attempted 50+,2018 Field Goals Made 50+,2018 Field Goals Attempted,2018 Field Goals Made,2018 Extra Points Attempted,2018 Extra Points Made,2018 Total Yards Allowed,2018 Total Plays,2018 Takeaways,2018 First Downs Allowed,2018 Passing Yards Allowed,2018 Passing Touchdowns Allowed,2018 Rushing Yards Allowed,2018 Rushing Touchdowns Allowed,2018 Penalties Committed,2018 Penalty Yards,2018 First Downs by Penalty,2018 Percent Drives Scored On,2018 Percent Drives Takeaway,2018 ST_Sacks,2018 ST_Interceptions,2018 ST_Fumble Recoveries,2018 ST_Forced Fumbles,2018 ST_Safeties,2018 ST_Special Teams Touchdowns,2018 Fantasy Points From Points,2018 XP2,2018 ESPN ADP,2018 Sleeper ADP,2018 NFL ADP,2018 RTSports ADP,2018 Average ADP,2018 Positional ADP,2018 PPR Fantasy Points Scored,2018 Standard Fantasy Points Scored,2019 Age,2019 Position,2019 Team,2019 Games Played,2019 Games Started,2019 Passing Attempts,2019 Passing Completions,2019 Passing Yards,2019 Passing Touchdowns,2019 Interceptions Thrown,2019 Rushing Attempts,2019 Rushing Yards,2019 Rushing Touchdowns,2019 Targets,2019 Receptions,2019 Receiving Yards,2019 Receiving Touchdowns,2019 Fumbles,2019 Field Goals Attempted 0-39,2019 Field Goals Made 0-39,2019 Field Goals Attempted 40-49,2019 Field Goals Made 40-49,2019 Field Goals Attempted 50+,2019 Field Goals Made 50+,2019 Field Goals Attempted,2019 Field Goals Made,2019 Extra Points Attempted,2019 Extra Points Made,2019 Total Yards Allowed,2019 Total Plays,2019 Takeaways,2019 First Downs Allowed,2019 Passing Yards Allowed,2019 Passing Touchdowns Allowed,2019 Rushing Yards Allowed,2019 Rushing Touchdowns Allowed,2019 Penalties Committed,2019 Penalty Yards,2019 First Downs by Penalty,2019 Percent Drives Scored On,2019 Percent Drives Takeaway,2019 ST_Sacks,2019 ST_Interceptions,2019 ST_Fumble Recoveries,2019 ST_Forced Fumbles,2019 ST_Safeties,2019 ST_Special Teams Touchdowns,2019 Fantasy Points From Points,2019 XP2,2019 ESPN ADP,2019 Sleeper ADP,2019 NFL ADP,2019 RTSports ADP,2019 Average ADP,2019 Positional ADP,2019 PPR Fantasy Points Scored,2019 Standard Fantasy Points Scored,2020 Age,2020 Position,2020 Team,2020 Games Played,2020 Games Started,2020 Passing Attempts,2020 Passing Completions,2020 Passing Yards,2020 Passing Touchdowns,2020 Interceptions Thrown,2020 Rushing Attempts,2020 Rushing Yards,2020 Rushing Touchdowns,2020 Targets,2020 Receptions,2020 Receiving Yards,2020 Receiving Touchdowns,2020 Fumbles,2020 Field Goals Attempted 0-39,2020 Field Goals Made 0-39,2020 Field Goals Attempted 40-49,2020 Field Goals Made 40-49,2020 Field Goals Attempted 50+,2020 Field Goals Made 50+,2020 Field Goals Attempted,2020 Field Goals Made,2020 Extra Points Attempted,2020 Extra Points Made,2020 Total Yards Allowed,2020 Total Plays,2020 Takeaways,2020 First Downs Allowed,2020 Passing Yards Allowed,2020 Passing Touchdowns Allowed,2020 Rushing Yards Allowed,2020 Rushing Touchdowns Allowed,2020 Penalties Committed,2020 Penalty Yards,2020 First Downs by Penalty,2020 Percent Drives Scored On,2020 Percent Drives Takeaway,2020 ST_Sacks,2020 ST_Interceptions,2020 ST_Fumble Recoveries,2020 ST_Forced Fumbles,2020 ST_Safeties,2020 ST_Special Teams Touchdowns,2020 Fantasy Points From Points,2020 XP2,2020 ESPN ADP,2020 Sleeper ADP,2020 NFL ADP,2020 RTSports ADP,2020 Average ADP,2020 Positional ADP,2020 PPR Fantasy Points Scored,2020 Standard Fantasy Points Scored,2021 Age,2021 Position,2021 Team,2021 Games Played,2021 Games Started,2021 Passing Attempts,2021 Passing Completions,2021 Passing Yards,2021 Passing Touchdowns,2021 Interceptions Thrown,2021 Rushing Attempts,2021 Rushing Yards,2021 Rushing Touchdowns,2021 Targets,2021 Receptions,2021 Receiving Yards,2021 Receiving Touchdowns,2021 Fumbles,2021 Field Goals Attempted 0-39,2021 Field Goals Made 0-39,2021 Field Goals Attempted 40-49,2021 Field Goals Made 40-49,2021 Field Goals Attempted 50+,2021 Field Goals Made 50+,2021 Field Goals Attempted,2021 Field Goals Made,2021 Extra Points Attempted,2021 Extra Points Made,2021 Total Yards Allowed,2021 Total Plays,2021 Takeaways,2021 First Downs Allowed,2021 Passing Yards Allowed,2021 Passing Touchdowns Allowed,2021 Rushing Yards Allowed,2021 Rushing Touchdowns Allowed,2021 Penalties Committed,2021 Penalty Yards,2021 First Downs by Penalty,2021 Percent Drives Scored On,2021 Percent Drives Takeaway,2021 ST_Sacks,2021 ST_Interceptions,2021 ST_Fumble Recoveries,2021 ST_Forced Fumbles,2021 ST_Safeties,2021 ST_Special Teams Touchdowns,2021 Fantasy Points From Points,2021 XP2,2021 ESPN ADP,2021 Sleeper ADP,2021 NFL ADP,2021 RTSports ADP,2021 Average ADP,2021 Positional ADP,2021 PPR Fantasy Points Scored,2021 Standard Fantasy Points Scored,2022 Age,2022 Position,2022 Team,2022 Games Played,2022 Games Started,2022 Passing Attempts,2022 Passing Completions,2022 Passing Yards,2022 Passing Touchdowns,2022 Interceptions Thrown,2022 Rushing Attempts,2022 Rushing Yards,2022 Rushing Touchdowns,2022 Targets,2022 Receptions,2022 Receiving Yards,2022 Receiving Touchdowns,2022 Fumbles,2022 Field Goals Attempted 0-39,2022 Field Goals Made 0-39,2022 Field Goals Attempted 40-49,2022 Field Goals Made 40-49,2022 Field Goals Attempted 50+,2022 Field Goals Made 50+,2022 Field Goals Attempted,2022 Field Goals Made,2022 Extra Points Attempted,2022 Extra Points Made,2022 Total Yards Allowed,2022 Total Plays,2022 Takeaways,2022 First Downs Allowed,2022 Passing Yards Allowed,2022 Passing Touchdowns Allowed,2022 Rushing Yards Allowed,2022 Rushing Touchdowns Allowed,2022 Penalties Committed,2022 Penalty Yards,2022 First Downs by Penalty,2022 Percent Drives Scored On,2022 Percent Drives Takeaway,2022 ST_Sacks,2022 ST_Interceptions,2022 ST_Fumble Recoveries,2022 ST_Forced Fumbles,2022 ST_Safeties,2022 ST_Special Teams Touchdowns,2022 Fantasy Points From Points,2022 XP2,2022 ESPN ADP,2022 Sleeper ADP,2022 NFL ADP,2022 RTSports ADP,2022 Average ADP,2022 Positional ADP,2022 PPR Fantasy Points Scored,2022 Standard Fantasy Points Scored,2023 Age,2023 Position,2023 Team,2023 Games Played,2023 Games Started,2023 Passing Attempts,2023 Passing Completions,2023 Passing Yards,2023 Passing Touchdowns,2023 Interceptions Thrown,2023 Rushing Attempts,2023 Rushing Yards,2023 Rushing Touchdowns,2023 Targets,2023 Receptions,2023 Receiving Yards,2023 Receiving Touchdowns,2023 Fumbles,2023 Field Goals Attempted 0-39,2023 Field Goals Made 0-39,2023 Field Goals Attempted 40-49,2023 Field Goals Made 40-49,2023 Field Goals Attempted 50+,2023 Field Goals Made 50+,2023 Field Goals Attempted,2023 Field Goals Made,2023 Extra Points Attempted,2023 Extra Points Made,2023 Total Yards Allowed,2023 Total Plays,2023 Takeaways,2023 First Downs Allowed,2023 Passing Yards Allowed,2023 Passing Touchdowns Allowed,2023 Rushing Yards Allowed,2023 Rushing Touchdowns Allowed,2023 Penalties Committed,2023 Penalty Yards,2023 First Downs by Penalty,2023 Percent Drives Scored On,2023 Percent Drives Takeaway,2023 ST_Sacks,2023 ST_Interceptions,2023 ST_Fumble Recoveries,2023 ST_Forced Fumbles,2023 ST_Safeties,2023 ST_Special Teams Touchdowns,2023 Fantasy Points From Points,2023 XP2,2023 ESPN ADP,2023 Sleeper ADP,2023 NFL ADP,2023 RTSports ADP,2023 Average ADP,2023 Positional ADP,2023 PPR Fantasy Points Scored,2023 Standard Fantasy Points Scored,2024 Age,2024 Position,2024 Team,2024 Games Played,2024 Games Started,2024 Passing Attempts,2024 Passing Completions,2024 Passing Yards,2024 Passing Touchdowns,2024 Interceptions Thrown,2024 Rushing Attempts,2024 Rushing Yards,2024 Rushing Touchdowns,2024 Targets,2024 Receptions,2024 Receiving Yards,2024 Receiving Touchdowns,2024 Fumbles,2024 Field Goals Attempted 0-39,2024 Field Goals Made 0-39,2024 Field Goals Attempted 40-49,2024 Field Goals Made 40-49,2024 Field Goals Attempted 50+,2024 Field Goals Made 50+,2024 Field Goals Attempted,2024 Field Goals Made,2024 Extra Points Attempted,2024 Extra Points Made,2024 Total Yards Allowed,2024 Total Plays,2024 Takeaways,2024 First Downs Allowed,2024 Passing Yards Allowed,2024 Passing Touchdowns Allowed,2024 Rushing Yards Allowed,2024 Rushing Touchdowns Allowed,2024 Penalties Committed,2024 Penalty Yards,2024 First Downs by Penalty,2024 Percent Drives Scored On,2024 Percent Drives Takeaway,2024 ST_Sacks,2024 ST_Interceptions,2024 ST_Fumble Recoveries,2024 ST_Forced Fumbles,2024 ST_Safeties,2024 ST_Special Teams Touchdowns,2024 Fantasy Points From Points,2024 XP2,2024 ESPN ADP,2024 Sleeper ADP,2024 NFL ADP,2024 RTSports ADP,2024 Average ADP,2024 Positional ADP,2024 PPR Fantasy Points Scored,2024 Standard Fantasy Points Scored
A.J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,WR,TEN,16.0,11.0,,,,,,3.0,60.0,1.0,84.0,52.0,1051.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,214.0,,403.0,103.0,215.1,163.1,23.0,WR,TEN,14.0,12.0,,,,,,0.0,0.0,0.0,106.0,70.0,1075.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,42.0,42.3,15.0,239.5,169.5,24.0,WR,TEN,13.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,105.0,63.0,869.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,21.0,25.0,23.8,8.0,180.9,117.9,25.0,WR,PHI,17.0,16.0,,,,,,0.0,0.0,0.0,145.0,88.0,1496.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,28.0,32.0,29.0,30.8,11.0,299.6,211.6,26.0,WR,PHI,17.0,17.0,,,,,,0.0,0.0,0.0,158.0,106.0,1456.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,13.0,13.0,15.0,15.0,8.0,289.6,183.6,27.0,WR,PHI,13.0,13.0,,,,,,0.0,0.0,0.0,97.0,67.0,1079.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,9.0,11.0,10.2,6.0,216.9,149.9
A.J. Derby,27.0,TE,MIA,4.0,0.0,,,,,,0.0,0.0,0.0,5.0,3.0,48.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.0,58.0,13.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Green,30.0,WR,CIN,9.0,9.0,,,,,,0.0,0.0,0.0,77.0,46.0,694.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,21.0,20.2,7.0,147.4,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,WR,CIN,16.0,14.0,,,,,,0.0,0.0,0.0,104.0,47.0,523.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,79.0,70.0,28.0,111.3,64.3,33.0,WR,ARI,16.0,9.0,,,,,,0.0,0.0,0.0,92.0,54.0,848.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,187.0,204.0,214.0,197.0,64.0,156.8,102.8,34.0,WR,ARI,15.0,10.0,,,,,,0.0,0.0,0.0,47.0,24.0,236.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,213.0,211.0,,212.0,72.0,61.6,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. McCarron,28.0,QB,OAK,2.0,0.0,3.0,1.0,8.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,40.0,-1.88,-1.88,29.0,QB,HOU,2.0,1.0,37.0,21.0,225.0,0.0,1.0,5.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,446.0,40.0,16.9,16.9,30.0,QB,HOU,2.0,0.0,1.0,1.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,,,,451.0,59.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,QB,CIN,2.0,0.0,5.0,4.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0,0.76,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.T. Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,WR,NOR,10.0,3.0,,,,,,0.0,0.0,0.0,18.0,12.0,246.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.0,,,,422.0,137.0,60.6,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,TE,SEA,17.0,6.0,,,,,,0.0,0.0,0.0,38.0,30.0,245.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,,393.0,,395.0,58.0,78.5,48.5
AJ Cole III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,K,LVR,16.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,K,LVR,17.0,0.0,1.0,1.0,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,211.0,0.0,0.0
AJ Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,RB,GNB,11.0,0.0,,,,,,46.0,242.0,2.0,2.0,2.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,38.3,23.0,RB,GNB,17.0,2.0,,,,,,187.0,803.0,5.0,37.0,34.0,313.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.6,149.6,24.0,RB,GNB,17.0,3.0,,,,,,186.0,770.0,7.0,43.0,28.0,206.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,97.0,165.6,137.6,25.0,RB,GNB,15.0,6.0,,,,,,178.0,613.0,2.0,28.0,22.0,223.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,154.0,117.6,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,24.0,RB,GNB,12.0,8.0,,,,,,133.0,728.0,8.0,35.0,26.0,206.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,110.0,116.8,39.0,171.4,145.4,25.0,RB,GNB,16.0,16.0,,,,,,236.0,1084.0,16.0,68.0,49.0,474.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,36.0,31.0,32.3,15.0,312.8,263.8,26.0,RB,GNB,14.0,14.0,,,,,,201.0,1104.0,9.0,63.0,47.0,355.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,16.0,18.3,14.0,254.9,207.9,27.0,RB,GNB,15.0,15.0,,,,,,171.0,799.0,4.0,65.0,52.0,391.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,7.0,11.0,9.4,6.0,227.0,175.0,28.0,RB,GNB,17.0,17.0,,,,,,213.0,1121.0,2.0,72.0,59.0,395.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,18.0,17.0,22.0,19.5,10.0,242.6,183.6,29.0,RB,GNB,11.0,11.0,,,,,,142.0,656.0,2.0,43.0,30.0,233.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,40.0,38.0,39.0,37.3,14.0,132.9,102.9,30.0,RB,MIN,17.0,17.0,,,,,,255.0,1138.0,5.0,62.0,51.0,408.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,58.0,70.0,52.0,59.2,19.0,237.6,186.6
Aaron Rodgers,35.0,QB,GNB,16.0,16.0,597.0,372.0,4442.0,25.0,2.0,43.0,269.0,2.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,,,30.0,28.2,1.0,302.58,302.58,36.0,QB,GNB,16.0,16.0,569.0,353.0,4002.0,26.0,4.0,46.0,183.0,1.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,43.0,,42.0,55.0,50.5,3.0,274.38,274.38,37.0,QB,GNB,16.0,16.0,526.0,372.0,4299.0,48.0,5.0,38.0,149.0,3.0,1.0,1.0,-6.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,109.0,97.5,11.0,379.26,378.26,38.0,QB,GNB,16.0,16.0,531.0,366.0,4115.0,37.0,4.0,33.0,101.0,3.0,1.0,1.0,-4.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,57.0,43.0,64.0,54.4,5.0,327.3,326.3,39.0,QB,GNB,17.0,17.0,542.0,350.0,3695.0,26.0,12.0,34.0,94.0,1.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,90.0,61.0,102.0,80.3,10.0,227.2,227.2,40.0,QB,NYJ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,94.0,98.0,122.0,101.8,12.0,0.0,0.0,41.0,QB,NYJ,17.0,17.0,584.0,368.0,3897.0,28.0,11.0,22.0,107.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,135.0,144.0,153.0,136.2,18.0,246.58,246.58
