Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.0002
mlp__batch_size: 24
mlp__early_stopping: True
mlp__hidden_layer_sizes: (56, 28, 14, 7)
mlp__learning_rate: adaptive
mlp__learning_rate_init: 0.001
mlp__max_iter: 2000
mlp__n_iter_no_change: 15
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.487
RMSE: 61.2


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Ja'Marr Chase | WR       | CIN  | 327.5
   2 | Baker Mayfield | QB       | TAM  | 313.9
   3 | Joe Burrow  | QB       | CIN  | 298.8
   4 | Josh Allen  | QB       | BUF  | 295.9
   5 | Lamar Jackson | QB       | BAL  | 289.7
   6 | Amon-Ra St. Brown | WR       | DET  | 282.4
   7 | Jalen Hurts | QB       | PHI  | 277.7
   8 | Justin Jefferson | WR       | MIN  | 275.6
   9 | Josh Jacobs | RB       | GNB  | 266.3
  10 | Jared Goff  | QB       | DET  | 256.0
  11 | Derrick Henry | RB       | BAL  | 255.8
  12 | Saquon Barkley | RB       | PHI  | 250.4
  13 | Sam Darnold | QB       | MIN  | 250.0
  14 | CeeDee Lamb | WR       | DAL  | 246.8
  15 | Terry McLaurin | WR       | WAS  | 244.9
  16 | Kyren Williams | RB       | LAR  | 243.7
  17 | James Cook  | RB       | BUF  | 235.8
  18 | Jayden Daniels | QB       | WAS  | 231.7
  19 | Geno Smith  | QB       | SEA  | 231.0
  20 | Jaxon Smith-Njigba | WR       | SEA  | 228.5
