Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.125
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (150, 150, 150)
mlp__learning_rate: adaptive
mlp__learning_rate_init: 0.001
mlp__max_iter: 1000
mlp__n_iter_no_change: 10
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.501
RMSE: 60.3


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Ja'Marr Chase | WR       | CIN  | 339.3
   2 | Lamar Jackson | QB       | BAL  | 314.2
   3 | Joe Burrow  | QB       | CIN  | 293.2
   4 | Baker Mayfield | QB       | TAM  | 291.6
   5 | Josh Allen  | QB       | BUF  | 257.7
   6 | Jalen Hurts | QB       | PHI  | 254.8
   7 | Amon-Ra St. Brown | WR       | DET  | 249.0
   8 | Justin Jefferson | WR       | MIN  | 246.7
   9 | Kyren Williams | RB       | LAR  | 237.5
  10 | Sam Darnold | QB       | MIN  | 236.2
  11 | Josh Jacobs | RB       | GNB  | 235.3
  12 | Bijan Robinson | RB       | ATL  | 232.5
  13 | CeeDee Lamb | WR       | DAL  | 228.1
  14 | Derrick Henry | RB       | BAL  | 225.7
  15 | Drake London | WR       | ATL  | 225.2
  16 | De'Von Achane | RB       | MIA  | 224.5
  17 | Jared Goff  | QB       | DET  | 224.1
  18 | Saquon Barkley | RB       | PHI  | 223.7
  19 | Jayden Daniels | QB       | WAS  | 222.8
  20 | Malik Nabers | WR       | NYG  | 222.2
