Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.1
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (300, 150, 75)
mlp__learning_rate: adaptive
mlp__learning_rate_init: 0.001
mlp__max_iter: 2000
mlp__n_iter_no_change: 15
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.600
RMSE: 46.1


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Josh Allen  | QB       | BUF  | 374.0
   2 | Jalen Hurts | QB       | PHI  | 368.5
   3 | Lamar Jackson | QB       | BAL  | 343.5
   4 | Joe Burrow  | QB       | CIN  | 278.2
   5 | Jared Goff  | QB       | DET  | 263.4
   6 | Baker Mayfield | QB       | TAM  | 259.6
   7 | Justin Herbert | QB       | LAC  | 256.1
   8 | Patrick Mahomes | QB       | KAN  | 249.4
   9 | Geno Smith  | QB       | SEA  | 240.5
  10 | Jahmyr Gibbs | RB       | DET  | 214.5
  11 | Josh Jacobs | RB       | GNB  | 211.4
  12 | Derrick Henry | RB       | BAL  | 210.8
  13 | Tua Tagovailoa | QB       | MIA  | 209.8
  14 | Saquon Barkley | RB       | PHI  | 198.0
  15 | Amon-Ra St. Brown | WR       | DET  | 196.4
  16 | Brock Purdy | QB       | SFO  | 195.7
  17 | Ja'Marr Chase | WR       | CIN  | 195.0
  18 | Justin Jefferson | WR       | MIN  | 194.0
  19 | CeeDee Lamb | WR       | DAL  | 186.7
  20 | Jordan Love | QB       | GNB  | 181.3
