Grid Search Results
==================

Best Parameters:
linear__fit_intercept: False
linear__positive: True

Test Set Performance:
R^2: 0.127
RMSE: 79.8


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Malik Willis | QB       | GNB  | 162.7
   2 | Dak Prescott | QB       | DAL  | 162.1
   3 | Cooper Rush | QB       | DAL  | 161.4
   4 | Josh Allen  | QB       | BUF  | 157.9
   5 | Sam Darnold | QB       | MIN  | 157.2
   6 | Justin Herbert | QB       | LAC  | 155.8
   7 | Patrick Mahomes | QB       | KAN  | 155.1
   8 | Trey Lance  | QB       | DAL  | 154.3
   9 | Drake Maye  | QB       | NWE  | 149.0
  10 | Tyler Huntley | QB       | MIA  | 148.6
  11 | Brandon Aubrey | K        | DAL  | 148.5
  12 | Lamar Jackson | QB       | BAL  | 147.9
  13 | Desmond Ridder | QB       | LVR  | 146.0
  14 | Jalen Hurts | QB       | PHI  | 145.9
  15 | Kyler Murray | QB       | ARI  | 145.3
  16 | Matthew Stafford | QB       | LAR  | 145.1
  17 | Jordan Love | QB       | GNB  | 144.4
  18 | Gardner Minshew II | QB       | LVR  | 144.3
  19 | Deshaun Watson | QB       | CLE  | 144.1
  20 | Aidan O'Connell | QB       | LVR  | 143.5
