Grid Search Results
==================

Best Parameters:
linear__fit_intercept: True
linear__positive: False

Test Set Performance:
R^2: 0.600
RMSE: 46.2


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Lamar Jackson | QB       | BAL  | 335.4
   2 | Josh Allen  | QB       | BUF  | 318.8
   3 | Jalen Hurts | QB       | PHI  | 289.6
   4 | Joe Burrow  | QB       | CIN  | 287.5
   5 | Justin Herbert | QB       | LAC  | 260.4
   6 | Patrick Mahomes | QB       | KAN  | 242.4
   7 | Jared Goff  | QB       | DET  | 239.9
   8 | Baker Mayfield | QB       | TAM  | 220.2
   9 | Jahmyr Gibbs | RB       | DET  | 211.2
  10 | Derrick Henry | RB       | BAL  | 202.4
  11 | Tua Tagovailoa | QB       | MIA  | 201.4
  12 | Bijan Robinson | RB       | ATL  | 198.4
  13 | Kyler Murray | QB       | ARI  | 197.1
  14 | Josh Jacobs | RB       | GNB  | 194.7
  15 | Brock Purdy | QB       | SFO  | 194.7
  16 | Saquon Barkley | RB       | PHI  | 192.9
  17 | C.J. Stroud | QB       | HOU  | 186.7
  18 | Geno Smith  | QB       | SEA  | 186.4
  19 | Sam Darnold | QB       | MIN  | 179.0
  20 | CeeDee Lamb | WR       | DAL  | 177.4
