Grid Search Results
==================

Best Parameters:
mlp__activation: relu
mlp__alpha: 0.001
mlp__early_stopping: True
mlp__hidden_layer_sizes: (50,)
mlp__learning_rate_init: 0.001
mlp__max_iter: 1000
mlp__n_iter_no_change: 20
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.520
RMSE: 50.6


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Josh Allen  | QB       | BUF  | 290.4
   2 | Lamar Jackson | QB       | BAL  | 283.2
   3 | Joe Burrow  | QB       | CIN  | 277.6
   4 | Baker Mayfield | QB       | TAM  | 270.5
   5 | Jalen Hurts | QB       | PHI  | 254.3
   6 | Jared Goff  | QB       | DET  | 250.5
   7 | Sam Darnold | QB       | MIN  | 243.0
   8 | Derrick Henry | RB       | BAL  | 226.4
   9 | Josh Jacobs | RB       | GNB  | 221.3
  10 | Geno Smith  | QB       | SEA  | 219.8
  11 | Kyler Murray | QB       | ARI  | 210.8
  12 | Jayden Daniels | QB       | WAS  | 208.0
  13 | Patrick Mahomes | QB       | KAN  | 206.3
  14 | James Cook  | RB       | BUF  | 204.6
  15 | Justin Herbert | QB       | LAC  | 202.6
  16 | Ja'Marr Chase | WR       | CIN  | 201.4
  17 | Brock Purdy | QB       | SFO  | 199.2
  18 | Saquon Barkley | RB       | PHI  | 196.3
  19 | Jahmyr Gibbs | RB       | DET  | 190.1
  20 | Jordan Love | QB       | GNB  | 189.6
