
Test Set Performance:
R^2: 0.591
RMSE: 46.7


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Josh Allen  | QB       | BUF  | 313.4
   2 | Lamar Jackson | QB       | BAL  | 294.4
   3 | Jalen Hurts | QB       | PHI  | 277.6
   4 | Justin Herbert | QB       | LAC  | 249.1
   5 | Brock Purdy | QB       | SFO  | 238.4
   6 | Joe Burrow  | QB       | CIN  | 237.0
   7 | Patrick Mahomes | QB       | KAN  | 231.9
   8 | Jared Goff  | QB       | DET  | 225.1
   9 | Jordan Love | QB       | GNB  | 219.7
  10 | C.J. Stroud | QB       | HOU  | 219.3
  11 | Dak Prescott | QB       | DAL  | 209.1
  12 | Baker Mayfield | QB       | TAM  | 206.6
  13 | Justin Jefferson | WR       | MIN  | 197.5
  14 | Geno Smith  | QB       | SEA  | 196.5
  15 | Kyler Murray | QB       | ARI  | 196.3
  16 | Bijan Robinson | RB       | ATL  | 194.6
  17 | Matthew Stafford | QB       | LAR  | 192.3
  18 | Jahmyr Gibbs | RB       | DET  | 181.5
  19 | James Cook  | RB       | BUF  | 179.1
  20 | Josh Jacobs | RB       | GNB  | 175.5
