,Team,FR TD,SFTY,INT TD
0,Broncos  Broncos,2,2,3
1,Texans  Texans,2,1,1
2,Seahawks  Seahawks,2,1,2
3,Falcons  Falcons,1,1,3
4,Bills  Bills,1,1,2
5,Browns  Browns,1,1,0
6,Colts  Colts,1,0,0
7,Jaguars  Jaguars,1,0,0
8,Chiefs  Chiefs,1,0,0
9,Rams  Rams,1,1,2
10,Vikings  Vikings,1,0,2
11,Patriots  Patriots,1,0,0
12,Steelers  Steelers,1,0,0
13,Buccaneers  Buccaneers,1,1,0
14,Ravens  Ravens,0,0,2
15,Panthers  Panthers,0,0,0
16,Bears  Bears,0,0,1
17,Bengals  Bengals,0,1,2
18,Cowboys  Cowboys,0,0,1
19,Lions  Lions,0,0,1
20,Packers  Packers,0,0,1
21,Titans  Titans,0,2,0
22,Raiders  Raiders,0,0,1
23,Dolphins  Dolphins,0,0,0
24,Saints  Saints,0,1,0
25,Giants  Giants,0,0,0
26,Jets  Jets,0,0,0
27,Eagles  Eagles,0,0,1
28,Cardinals  Cardinals,0,2,0
29,Chargers  Chargers,0,0,1
30,49ers  49ers,0,0,1
31,Commanders  Commanders,0,0,1
